"pID","Well","Name","Plate 1",,"treat"
4,"F8","hsa-miR-18b*",0.86851645,"c1","c"
4,"G8","hsa-miR-190",0.98410589,"c1","c"
4,"H8","hsa-miR-1908",0.968605555,"c1","c"
4,"B9","hsa-miR-1909",1.218766208,"c1","c"
4,"A9","hsa-miR-1909*",1.035911861,"c1","c"
4,"C9","hsa-miR-190b",1.303976646,"c1","c"
4,"D9","hsa-miR-191",1.021944989,"c1","c"
4,"E9","hsa-miR-191*",1.00901423,"c1","c"
4,"F9","hsa-miR-1910",0.923472215,"c1","c"
4,"G9","hsa-miR-1911",0.961850063,"c1","c"
4,"H9","hsa-miR-1911*",1.00018645,"c1","c"
4,"A10","hsa-miR-1912",1.279980031,"c1","c"
4,"B10","hsa-miR-1913",1.147439774,"c1","c"
4,"C10","hsa-miR-1914",1.137990317,"c1","c"
4,"D10","hsa-miR-1914*",0.975775535,"c1","c"
4,"F10","hsa-miR-1915",0.853264823,"c1","c"
4,"E10","hsa-miR-1915*",0.952607922,"c1","c"
4,"G10","hsa-miR-192",0.906023972,"c1","c"
4,"H10","hsa-miR-192*",1.20803192,"c1","c"
4,"B11","hsa-miR-193a-3p",1.247818918,"c1","c"
4,"A11","hsa-miR-193a-5p",1.302318786,"c1","c"
4,"D11","hsa-miR-193b",1.1556872,"c1","c"
4,"C11","hsa-miR-193b*",1.218683279,"c1","c"
4,"F11","hsa-miR-194",1.091074866,"c1","c"
4,"E11","hsa-miR-194",1.221833141,"c1","c"
4,"G11","hsa-miR-194*",1.248855092,"c1","c"
4,"H11","hsa-miR-195",1.192034228,"c1","c"
5,"A2","ath-miR416",1.063249889,"c1","c"
5,"B2","cel-miR-243",0.936750111,"c1","c"
5,"C2","hsa-miR-195*",1.11017767,"c1","c"
5,"E2","hsa-miR-196a",0.978680409,"c1","c"
5,"D2","hsa-miR-196a",1.074414749,"c1","c"
5,"F2","hsa-miR-196a*",0.95918618,"c1","c"
5,"G2","hsa-miR-196b",1.110603085,"c1","c"
5,"H2","hsa-miR-196b*",1.12485152,"c1","c"
5,"A3","hsa-miR-197",1.021567668,"c1","c"
5,"B3","hsa-miR-1972",1.01362822,"c1","c"
5,"C3","hsa-miR-1973",0.99268076,"c1","c"
5,"D3","hsa-miR-1976",0.791571381,"c1","c"
5,"E3","hsa-miR-198",0.847891966,"c1","c"
5,"G3","hsa-miR-199a-3p",0.804154045,"c1","c"
5,"A4","hsa-miR-199a-3p",1.238520499,"c1","c"
5,"F3","hsa-miR-199a-5p",0.74017754,"c1","c"
5,"H3","hsa-miR-199a-5p",1.234160905,"c1","c"
5,"C4","hsa-miR-199b-3p",1.278997566,"c1","c"
5,"B4","hsa-miR-199b-5p",1.271696131,"c1","c"
5,"E4","hsa-miR-19a",1.12896303,"c1","c"
5,"D4","hsa-miR-19a*",1.060768716,"c1","c"
5,"G4","hsa-miR-19b",0.904247972,"c1","c"
5,"A5","hsa-miR-19b",1.228596164,"c1","c"
5,"F4","hsa-miR-19b-1*",0.71518955,"c1","c"
5,"H4","hsa-miR-19b-2*",1.076505877,"c1","c"
5,"C5","hsa-miR-200a",1.011218035,"c1","c"
5,"B5","hsa-miR-200a*",1.093235478,"c1","c"
5,"E5","hsa-miR-200b",1.300228597,"c1","c"
5,"D5","hsa-miR-200b*",1.131160624,"c1","c"
5,"G5","hsa-miR-200c",1.000655694,"c1","c"
5,"F5","hsa-miR-200c*",0.861963239,"c1","c"
5,"A6","hsa-miR-202",1.074946404,"c1","c"
5,"H5","hsa-miR-202*",1.12485152,"c1","c"
5,"B6","hsa-miR-203",1.164903288,"c1","c"
5,"C6","hsa-miR-204",1.215233826,"c1","c"
5,"D6","hsa-miR-205",1.302390706,"c1","c"
5,"E6","hsa-miR-205*",1.300583039,"c1","c"
5,"F6","hsa-miR-2052",1.272086059,"c1","c"
5,"G6","hsa-miR-2053",1.291084002,"c1","c"
5,"H6","hsa-miR-2054",1.223988493,"c1","c"
5,"A7","hsa-miR-206",1.256207054,"c1","c"
5,"B7","hsa-miR-208a",1.266982102,"c1","c"
5,"C7","hsa-miR-208b",1.27669373,"c1","c"
5,"D7","hsa-miR-20a",1.282045764,"c1","c"
5,"E7","hsa-miR-20a*",1.290233406,"c1","c"
5,"F7","hsa-miR-20b",1.289382685,"c1","c"
5,"G7","hsa-miR-20b*",1.300299461,"c1","c"
5,"H7","hsa-miR-21",1.375724346,"c1","c"
5,"A8","hsa-miR-21*",1.207046294,"c1","c"
5,"B8","hsa-miR-210",1.220266912,"c1","c"
5,"C8","hsa-miR-211",1.184893679,"c1","c"
5,"D8","hsa-miR-2110",1.22058586,"c1","c"
5,"E8","hsa-miR-2113",1.327378702,"c1","c"
5,"F8","hsa-miR-212",1.235472301,"c1","c"
5,"H8","hsa-miR-214",1.336381454,"c1","c"
5,"G8","hsa-miR-214*",1.23958381,"c1","c"
5,"A9","hsa-miR-215",1.374625548,"c1","c"
5,"B9","hsa-miR-216a",1.160543694,"c1","c"
5,"C9","hsa-miR-216b",1.301823564,"c1","c"
5,"D9","hsa-miR-217",1.324436854,"c1","c"
5,"E9","hsa-miR-218",1.313768163,"c1","c"
5,"G9","hsa-miR-218",1.340670177,"c1","c"
5,"F9","hsa-miR-218-1*",1.286582688,"c1","c"
5,"H9","hsa-miR-218-2*",1.299696949,"c1","c"
5,"B10","hsa-miR-219-1-3p",1.155581472,"c1","c"
5,"D10","hsa-miR-219-2-3p",1.437609664,"c1","c"
5,"A10","hsa-miR-219-5p",1.232424212,"c1","c"
5,"C10","hsa-miR-219-5p",1.42609037,"c1","c"
5,"F10","hsa-miR-22",1.347440073,"c1","c"
5,"E10","hsa-miR-22*",1.476952447,"c1","c"
5,"H10","hsa-miR-221",1.123469261,"c1","c"
5,"G10","hsa-miR-221*",1.089974689,"c1","c"
5,"B11","hsa-miR-222",1.160401967,"c1","c"
5,"A11","hsa-miR-222*",1.204671478,"c1","c"
5,"D11","hsa-miR-223",1.228277216,"c1","c"
5,"C11","hsa-miR-223*",1.393765342,"c1","c"
5,"E11","hsa-miR-224",1.250323365,"c1","c"
5,"F11","hsa-miR-224*",1.297286756,"c1","c"
5,"H11","hsa-miR-23a",1.331738289,"c1","c"
5,"G11","hsa-miR-23a*",1.245396629,"c1","c"
6,"A2","ath-miR416",1.094916403,"c1","c"
6,"B2","cel-miR-243",0.905083597,"c1","c"
