playe #,well,name,c1,c2,c3,avg,v4,v5,v6,avg,Ratio,z-score vcr
2,D8,hsa-miR-1271,1.091408197,1.12549898,0.710699095,0.975868757,0.827638014,0.770006026,0.91332693,0.836990324,0.857687386,1.021410792
2,E8,hsa-miR-1272,1.059490104,0.769398992,0.735626202,0.854838433,0.78499259,0.713866241,0.90208781,0.800315547,0.93621849,0.765082032
2,F8,hsa-miR-1273,1.125684049,1.198264681,0.86130438,1.061751037,0.844412953,0.904150079,0.981321501,0.909961511,0.857038495,1.537773738
2,G8,hsa-miR-1275,1.007337313,1.201655068,0.883298873,1.030763751,0.732179224,0.777502423,0.916926634,0.808869427,0.784728243,0.812999039
2,H8,hsa-miR-1276,1.043759834,1.170266589,1.023835539,1.079287321,0.792071538,0.86908357,0.785617161,0.815590756,0.755675287,0.79666387
2,A9,hsa-miR-1277,1.134657733,1.206284958,0.865019014,1.068653902,0.898127307,0.889740348,0.93220545,0.906691035,0.84844217,1.50387549
2,B9,hsa-miR-1278,1.155561067,1.229580162,0.843154855,1.076098695,0.792286092,0.825271203,0.959763188,0.859106827,0.798353192,1.180926601
2,C9,hsa-miR-1279,1.169109509,1.187510202,0.871601068,1.076073593,0.793272809,0.860754219,0.925325963,0.85978433,0.799001421,1.165154487
2,F9,hsa-miR-128,1.022258187,1.137128301,0.846152617,1.001846368,0.752214867,0.889407141,0.920726313,0.854116107,0.852542,1.113337233
2,H9,hsa-miR-128,0.951489497,1.214487448,0.847064977,1.004347308,0.813694603,0.855756581,0.803375731,0.824275638,0.820707769,0.869838565
2,D9,hsa-miR-1280,1.036651295,1.251344223,0.827677223,1.03855758,0.818027762,0.807737953,0.931765451,0.852510389,0.820860013,1.12958076
2,E9,hsa-miR-1281,0.95071526,1.104172344,0.708744041,0.921210548,0.792929631,0.818940924,0.915566781,0.842479112,0.914534808,1.047585063
2,G9,hsa-miR-1282,0.983583515,1.188239385,0.829762671,1.000528523,0.770148251,0.840347356,0.920566381,0.843687329,0.843241656,1.051408961
2,A10,hsa-miR-1283,1.129238315,0.978509314,0.903827056,1.003858228,0.906579123,0.959623509,0.949364024,0.938522219,0.934915103,1.722044731
2,B10,hsa-miR-1283,1.070645629,0.99203444,0.74093748,0.934539183,0.85269325,0.854507239,0.8972482,0.868149563,0.928960046,1.220570293
2,C10,hsa-miR-1284,1.162141729,1.142596706,0.767656714,1.024131716,0.874659432,0.896945175,0.943524533,0.905043047,0.883717428,1.492810809
2,E10,hsa-miR-1285,0.973554068,1.214961427,0.725916058,0.971477185,0.822661264,0.895862373,0.997600206,0.905374615,0.931956642,1.51121151
2,D10,hsa-miR-1285,1.0869741,1.194108653,0.687564167,0.989548973,0.861960256,0.880661334,0.930565531,0.891062373,0.900473244,1.391030527
2,F10,hsa-miR-1286,1.079689636,1.228486553,0.80793106,1.038702416,0.829439929,0.904941387,0.897208215,0.87719651,0.84451186,1.271842036
2,G10,hsa-miR-1287,0.97816409,1.174969477,0.719334004,0.95748919,0.81764161,0.84546988,0.86037115,0.84116088,0.878506921,1.01383907
2,H10,hsa-miR-1288,1.0978481,1.28112867,0.873067372,1.084014714,0.751700031,0.775794913,0.763578927,0.76369129,0.704502697,0.436371371
2,B11,hsa-miR-1289,1.061636773,0.979785254,0.932012646,0.991144891,0.788725174,0.886366913,0.915046812,0.863379633,0.871093259,1.180866995
2,A11,hsa-miR-1289,1.182939469,1.043874486,0.937323872,1.054712609,0.829053778,0.951918859,0.899607999,0.893526878,0.847175686,1.378529393
2,E11,hsa-miR-129-5p,1.022750906,1.015767062,0.771664623,0.93672753,0.748010411,0.766007958,0.879049695,0.797689355,0.851570311,0.723190326
2,H11,hsa-miR-129-5p,1.041859518,1.263046542,0.975708304,1.093538121,0.770705991,0.80136602,0.79869611,0.790256041,0.7226598,0.634433428
2,F11,hsa-miR-129*,1.094117909,0.956927467,0.85801335,0.969686242,0.841323978,0.845219973,0.88128949,0.85594448,0.88270251,1.128872265
2,C11,hsa-miR-1290,1.111924413,0.99090427,0.997148905,1.033325863,0.777270103,0.772629807,0.935125196,0.828341702,0.801626797,0.963196341
2,D11,hsa-miR-1291,1.071349424,1.006543733,0.82031315,0.966068769,0.694296057,0.754388548,0.921646297,0.790110301,0.817861343,0.683205798
2,G11,hsa-miR-1292,0.942304612,1.187656081,0.835790782,0.988583825,0.782075195,0.769298026,0.816414695,0.789262639,0.798377051,0.642006059
3,A2,ath-miR416,1.046490085,1.053249539,0.951318479,1.017019368,0.790962833,0.833686812,0.626434895,0.750361513,0.737804546,0.567087157
3,B2,cel-miR-243,0.953509915,0.946750461,1.048681521,0.982980632,0.647677337,0.673497483,0.574492741,0.631889187,0.642829743,-0.313344638
3,C2,hsa-miR-129-3p,0.86423758,1.068442284,1.049225721,0.993968528,0.656292223,0.773832962,0.669652562,0.699925916,0.704173116,0.223107067
3,D2,hsa-miR-1293,0.843915995,0.858182488,0.950547607,0.884215363,0.620734828,0.753780957,0.69567884,0.690064875,0.780426244,0.165332028
3,E2,hsa-miR-1294,0.809404981,0.922517135,0.96632886,0.899416992,0.670016886,0.808385843,0.654743552,0.71104876,0.790566296,0.293966486
3,F2,hsa-miR-1295,0.786872996,0.781506138,1.072761493,0.880380209,0.599366566,0.629881628,0.571510963,0.600253052,0.681811161,-0.543061605
3,G2,hsa-miR-1296,0.824236165,0.747932114,0.888420287,0.820196189,0.652702694,0.696532758,0.702489117,0.68390819,0.833834879,0.12966782
3,H2,hsa-miR-1297,0.763235745,0.934558738,0.978844995,0.892213159,0.709459454,0.728366692,0.687764205,0.708530117,0.794126503,0.300400806
3,A3,hsa-miR-1298,0.975186229,1.093951007,1.278688489,1.115941909,0.663471274,0.747701183,0.644031184,0.68506788,0.613892063,0.104073393
3,B3,hsa-miR-1299,1.035687598,1.081496754,1.27229443,1.129826261,0.743876665,0.73629688,0.686512583,0.722228709,0.639238735,0.399856867
3,C3,hsa-miR-1301,0.931690954,1.059664232,1.283223359,1.091526182,0.60823483,0.807252933,0.724981446,0.713489736,0.653662503,0.346233778
3,D3,hsa-miR-1302,0.818246654,0.919065947,1.008321417,0.915211339,0.558403717,0.804156429,0.746038048,0.702866065,0.767982251,0.278527968
3,H3,hsa-miR-1302,0.870262754,0.948888667,0.975081071,0.931410831,0.635937531,0.808536862,0.664830114,0.703101502,0.754877954,0.240287443
3,G3,hsa-miR-1302,0.895611238,0.871799666,1.031675838,0.933028914,0.537626689,0.793733885,0.731055455,0.68747201,0.736817476,0.158962126
3,C4,hsa-miR-1302,0.8890513,1.008084078,1.008140066,0.968425148,0.760599692,0.637396358,0.589917104,0.662637718,0.684242576,-0.075213095
3,E3,hsa-miR-1302,0.98399229,0.964306494,0.971407856,0.973235547,0.546241541,0.77360637,0.654522698,0.658123536,0.676222255,-0.092283257
3,B4,hsa-miR-1302,0.875824425,0.99814311,1.054667483,0.976211673,0.754560826,0.687243131,0.545742366,0.662515441,0.678659618,-0.103162222
3,F3,hsa-miR-1302,1.020357191,0.923830048,1.004285426,0.982824222,0.596790545,0.746266235,0.624299778,0.655785519,0.667245989,-0.121154196
3,A4,hsa-miR-1302,1.025954525,0.960442656,1.342040174,1.109479119,0.764470097,0.740148675,0.585941385,0.696853386,0.628090582,0.163524039
3,D4,hsa-miR-1303,0.665977416,0.828397277,0.907013166,0.80046262,0.721368218,0.717528805,0.576591031,0.671829351,0.839301343,-0.022907852
