Name,x,y,z,Color
hsa-miR-527,0.959391633,1.090668518,0.911819202,black
hsa-miR-431,0.959872071,1.091724175,0.947170974,black
hsa-miR-877,0.960068061,0.953368193,0.851893039,black
hsa-miR-548h,0.960101721,0.917163655,0.766198807,black
hsa-miR-1287,0.960496882,1.129761594,0.733503535,black
hsa-miR-376a,0.960529016,1.183357948,0.935948332,black
hsa-miR-296-3p,0.961779642,1.044679029,0.865909902,black
hsa-miR-657,0.961935001,0.810697642,0.723002195,black
hsa-miR-1251,0.962527857,1.090647381,0.706614292,black
hsa-miR-576-5p,0.962537756,0.953132983,0.688585245,black
hsa-miR-452,0.962584665,1.004558704,0.869090877,black
hsa-miR-33b*,0.962629831,0.983746537,0.776372479,black
hsa-miR-548a-3p,0.9628641,0.94647345,0.788415809,black
hsa-miR-548l,0.962882165,1.018533422,0.84842611,black
hsa-miR-890,0.963036817,0.910939408,0.811471055,black
hsa-miR-132,0.963623494,1.009383287,0.663857963,black
hsa-miR-1302,0.96368791,1.019148839,0.670235833,black
hsa-miR-125b-2*,0.964412951,1.11380461,0.720207005,black
hsa-miR-568,0.964686751,0.882897155,0.734066976,black
hsa-miR-608,0.964759317,0.958720069,0.691026695,black
hsa-miR-1234,0.965434803,1.081916287,0.698846946,black
hsa-miR-377,0.965906414,1.208687188,0.950659736,black
hsa-miR-181b,0.966372172,0.901544229,0.748710166,black
hsa-miR-296-5p,0.967863701,0.851390768,0.701261738,black
hsa-miR-1236,0.968410719,0.998010505,0.642668315,black
hsa-miR-146b-5p,0.969007634,1.188687751,0.777440263,black
hsa-miR-541,0.969222229,0.854651502,0.707257525,black
hsa-miR-129-3p,0.969292131,1.08670056,0.71052873,black
hsa-miR-181a,0.969490219,0.985694566,0.815962197,black
hsa-miR-658,0.969561209,0.899567173,0.795948192,black
hsa-miR-566,0.9699229,0.843001514,0.697112747,black
hsa-miR-154,0.97026434,0.900694854,0.745004197,black
hsa-miR-556-5p,0.970276736,0.829532413,0.685724434,black
hsa-miR-548d-5p,0.970442292,0.865231707,0.71511287,black
hsa-miR-1255b,0.970678237,1.121483739,0.720491816,black
hsa-miR-19b,0.971483391,1.124252663,0.913252515,black
hsa-miR-181a,0.971593969,0.905971944,0.748343596,black
hsa-miR-26b,0.972869518,0.836080313,0.685107639,black
hsa-miR-621,0.973285346,0.924728761,0.660687618,black
hsa-miR-554,0.973685337,0.946643773,0.779793904,black
hsa-miR-1291,0.973968708,1.064156503,0.681352515,black
hsa-miR-1285,0.974099456,1.217999843,0.779749842,black
hsa-miR-596,0.974115206,0.854261019,0.609820829,black
hsa-miR-561,0.974225666,1.005256788,0.827616862,black
hsa-miR-181a-2*,0.974507283,0.927933092,0.764192343,black
hsa-miR-1,0.974541807,0.916741145,0.71891657,black
hsa-miR-125a-3p,0.975399517,1.053536231,0.673563125,black
hsa-miR-569,0.97553428,1.161123326,0.95465774,black
hsa-miR-365,0.975919001,0.885050071,0.68896998,black
hsa-miR-147,0.976220751,1.204857274,0.782193149,black
hsa-miR-342-5p,0.976330711,0.849846789,0.661286899,black
hsa-miR-412,0.97652487,1.014223304,0.789035436,black
hsa-miR-595,0.977381607,0.990331305,0.704593014,black
hsa-miR-148b,0.977741311,1.157890125,0.750533055,black
hsa-miR-502-5p,0.977769982,1.063993441,0.906214609,black
hsa-miR-23b,0.977926808,0.965332638,0.786929901,black
hsa-miR-1254,0.978367846,0.941677412,0.600221221,black
hsa-miR-551b,0.978873942,0.956676424,0.783881088,black
hsa-miR-129*,0.97921833,1.149617437,0.73212489,black
hsa-miR-1271,0.97946973,1.05234085,0.670003041,black
